date,product,sales,inventory,weather_score,event_flag,price
2024-01-20 11:14:36.952884,Milk,123,319,0.94,0,2.9966462104925915
2024-01-20 11:14:36.952884,Bread,89,154,0.94,0,1.8899863008405067
2024-01-20 11:14:36.952884,Eggs,66,101,0.94,0,3.9247746304049858
2024-01-20 11:14:36.952884,Coffee,32,87,0.94,0,2.0308477766956905
2024-01-20 11:14:36.952884,Bananas,69,134,0.94,0,2.8118910790805947
2024-01-20 11:14:36.952884,Yogurt,40,85,0.94,0,2.2280728504951046
2024-01-20 11:14:36.952884,Cereal,29,56,0.94,0,2.4159046082342295
2024-01-21 11:14:36.952884,Milk,120,262,0.94,0,3.462939903482534
2024-01-21 11:14:36.952884,Bread,93,222,0.94,0,1.6161260317999944
2024-01-21 11:14:36.952884,Eggs,42,101,0.94,0,1.9263103092182288
2024-01-21 11:14:36.952884,Coffee,26,65,0.94,0,2.6003812343490034
2024-01-21 11:14:36.952884,Bananas,72,121,0.94,0,2.7379422752781757
2024-01-21 11:14:36.952884,Yogurt,48,94,0.94,0,2.800170052944527
2024-01-21 11:14:36.952884,Cereal,28,64,0.94,0,1.9621361388138177
2024-01-22 11:14:36.952884,Milk,99,161,0.95,0,1.989957156047863
2024-01-22 11:14:36.952884,Bread,67,105,0.95,0,2.313325826908161
2024-01-22 11:14:36.952884,Eggs,35,96,0.95,0,2.3918833167339733
2024-01-22 11:14:36.952884,Coffee,23,44,0.95,0,2.856740207895621
2024-01-22 11:14:36.952884,Bananas,63,101,0.95,0,3.9672173415012932
2024-01-22 11:14:36.952884,Yogurt,35,93,0.95,0,1.996789203835431
2024-01-22 11:14:36.952884,Cereal,37,98,0.95,0,1.685111629335226
2024-01-23 11:14:36.952884,Milk,102,207,0.95,0,1.7896726488128243
2024-01-23 11:14:36.952884,Bread,70,139,0.95,0,1.6588958757150591
2024-01-23 11:14:36.952884,Eggs,52,102,0.95,0,2.312958305066868
2024-01-23 11:14:36.952884,Coffee,30,84,0.95,0,2.6805373129048733
2024-01-23 11:14:36.952884,Bananas,73,122,0.95,0,3.2831119680574874
2024-01-23 11:14:36.952884,Yogurt,40,106,0.95,0,2.734488990910977
2024-01-23 11:14:36.952884,Cereal,40,91,0.95,0,2.568852545896374
2024-01-24 11:14:36.952884,Milk,91,179,0.96,0,2.771426727911757
2024-01-24 11:14:36.952884,Bread,64,183,0.96,0,2.1232305728721874
2024-01-24 11:14:36.952884,Eggs,56,103,0.96,0,1.6924497745719824
2024-01-24 11:14:36.952884,Coffee,25,48,0.96,0,1.903053218135011
2024-01-24 11:14:36.952884,Bananas,70,189,0.96,0,1.9664251472150895
2024-01-24 11:14:36.952884,Yogurt,40,113,0.96,0,2.848355604789127
2024-01-24 11:14:36.952884,Cereal,29,53,0.96,0,2.567769471565641
2024-01-25 11:14:36.952884,Milk,86,234,0.97,0,3.6518264581408584
2024-01-25 11:14:36.952884,Bread,67,142,0.97,0,2.0552695261768257
2024-01-25 11:14:36.952884,Eggs,44,73,0.97,0,2.34403792850907
2024-01-25 11:14:36.952884,Coffee,26,59,0.97,0,3.2575473972379445
2024-01-25 11:14:36.952884,Bananas,65,132,0.97,0,3.929455206802402
2024-01-25 11:14:36.952884,Yogurt,27,52,0.97,0,1.5922173683863319
2024-01-25 11:14:36.952884,Cereal,33,79,0.97,0,2.7566975580721538
2024-01-26 11:14:36.952884,Milk,89,152,0.97,0,2.7236319006939076
2024-01-26 11:14:36.952884,Bread,71,211,0.97,0,2.105138178778751
2024-01-26 11:14:36.952884,Eggs,54,100,0.97,0,3.3205408715296487
2024-01-26 11:14:36.952884,Coffee,30,61,0.97,0,3.080764576483949
2024-01-26 11:14:36.952884,Bananas,67,109,0.97,0,3.588256238973095
2024-01-26 11:14:36.952884,Yogurt,52,103,0.97,0,1.9662962759996356
2024-01-26 11:14:36.952884,Cereal,33,83,0.97,0,1.5414695723196403
2024-01-27 11:14:36.952884,Milk,111,251,0.98,0,2.0662394379948448
2024-01-27 11:14:36.952884,Bread,80,202,0.98,0,2.4668383657513435
2024-01-27 11:14:36.952884,Eggs,60,174,0.98,0,1.8438023603649831
2024-01-27 11:14:36.952884,Coffee,26,75,0.98,0,3.6933483834524523
2024-01-27 11:14:36.952884,Bananas,74,139,0.98,0,3.1499601150854475
2024-01-27 11:14:36.952884,Yogurt,46,105,0.98,0,2.1046307272511293
2024-01-27 11:14:36.952884,Cereal,44,72,0.98,0,3.7430393948833167
2024-01-28 11:14:36.952884,Milk,125,251,0.99,0,2.373023936531652
2024-01-28 11:14:36.952884,Bread,107,277,0.99,0,3.742775649881443
2024-01-28 11:14:36.952884,Eggs,58,142,0.99,0,1.710349912487622
2024-01-28 11:14:36.952884,Coffee,32,55,0.99,0,3.7463854713176983
2024-01-28 11:14:36.952884,Bananas,82,123,0.99,0,1.9020201285437466
2024-01-28 11:14:36.952884,Yogurt,40,92,0.99,0,3.229737994231733
2024-01-28 11:14:36.952884,Cereal,30,77,0.99,0,2.0931227187420003
2024-01-29 11:14:36.952884,Milk,102,202,0.99,0,3.36622851279506
2024-01-29 11:14:36.952884,Bread,79,196,0.99,0,2.920771508338679
2024-01-29 11:14:36.952884,Eggs,50,82,0.99,0,2.4192895076485836
2024-01-29 11:14:36.952884,Coffee,24,71,0.99,0,2.482744311666901
2024-01-29 11:14:36.952884,Bananas,55,156,0.99,0,3.0778465649931572
2024-01-29 11:14:36.952884,Yogurt,39,92,0.99,0,2.7312942345471596
2024-01-29 11:14:36.952884,Cereal,41,73,0.99,0,3.3061302881537635
2024-01-30 11:14:36.952884,Milk,79,229,1.0,0,3.8848214425064684
2024-01-30 11:14:36.952884,Bread,74,212,1.0,0,2.425396750638611
2024-01-30 11:14:36.952884,Eggs,51,150,1.0,0,3.6325236386684003
2024-01-30 11:14:36.952884,Coffee,28,54,1.0,0,2.4627443215048133
2024-01-30 11:14:36.952884,Bananas,59,103,1.0,0,2.8920031561458757
2024-01-30 11:14:36.952884,Yogurt,45,130,1.0,0,3.2400744916874324
2024-01-30 11:14:36.952884,Cereal,29,70,1.0,0,3.975134625260658
2024-01-31 11:14:36.952884,Milk,96,164,1.0,0,2.7958241309093417
2024-01-31 11:14:36.952884,Bread,73,185,1.0,0,3.256210209967773
2024-01-31 11:14:36.952884,Eggs,52,106,1.0,0,2.2339796106612333
2024-01-31 11:14:36.952884,Coffee,30,84,1.0,0,3.7831013813911785
2024-01-31 11:14:36.952884,Bananas,69,156,1.0,0,2.753790736717999
2024-01-31 11:14:36.952884,Yogurt,43,109,1.0,0,3.4894816735902525
2024-01-31 11:14:36.952884,Cereal,40,113,1.0,0,2.3449878921288394
2024-02-01 11:14:36.952884,Milk,93,220,1.01,0,1.5898556844918552
2024-02-01 11:14:36.952884,Bread,75,164,1.01,0,2.8566115867689414
2024-02-01 11:14:36.952884,Eggs,59,91,1.01,0,1.593370471873036
2024-02-01 11:14:36.952884,Coffee,23,62,1.01,0,2.4004766035281575
2024-02-01 11:14:36.952884,Bananas,72,191,1.01,0,2.039552568742108
2024-02-01 11:14:36.952884,Yogurt,37,90,1.01,0,1.71336866248442
2024-02-01 11:14:36.952884,Cereal,38,87,1.01,0,3.0935747537455165
2024-02-02 11:14:36.952884,Milk,96,248,1.02,0,3.9396301986563365
2024-02-02 11:14:36.952884,Bread,54,145,1.02,0,2.1770806281551858
2024-02-02 11:14:36.952884,Eggs,55,118,1.02,0,1.6961409533556648
2024-02-02 11:14:36.952884,Coffee,33,69,1.02,0,1.9332358001771144
2024-02-02 11:14:36.952884,Bananas,81,140,1.02,0,2.125607245411488
2024-02-02 11:14:36.952884,Yogurt,56,139,1.02,0,2.199834742364857
2024-02-02 11:14:36.952884,Cereal,40,117,1.02,0,3.344742291739421
2024-02-03 11:14:36.952884,Milk,183,389,1.02,0,2.1193274737528935
2024-02-03 11:14:36.952884,Bread,127,258,1.02,0,3.3946152761609225
2024-02-03 11:14:36.952884,Eggs,70,154,1.02,0,1.7445854016275038
2024-02-03 11:14:36.952884,Coffee,38,85,1.02,0,2.6836794269514144
2024-02-03 11:14:36.952884,Bananas,86,180,1.02,0,3.039625245130541
2024-02-03 11:14:36.952884,Yogurt,42,103,1.02,0,1.6132600244301112
2024-02-03 11:14:36.952884,Cereal,51,114,1.02,0,3.6412246029708055
2024-02-04 11:14:36.952884,Milk,109,271,1.03,0,1.9073360677035742
2024-02-04 11:14:36.952884,Bread,114,175,1.03,0,2.964438953183658
2024-02-04 11:14:36.952884,Eggs,60,174,1.03,0,2.9386854446896975
2024-02-04 11:14:36.952884,Coffee,43,94,1.03,0,2.8640419732898375
2024-02-04 11:14:36.952884,Bananas,73,212,1.03,0,2.465256594501936
2024-02-04 11:14:36.952884,Yogurt,54,86,1.03,0,2.2974390757344034
2024-02-04 11:14:36.952884,Cereal,38,105,1.03,0,1.5581798393395647
2024-02-05 11:14:36.952884,Milk,98,164,1.03,0,3.241842913410377
2024-02-05 11:14:36.952884,Bread,89,217,1.03,0,3.6936800338176323
2024-02-05 11:14:36.952884,Eggs,62,119,1.03,0,1.943598859449307
2024-02-05 11:14:36.952884,Coffee,34,89,1.03,0,3.51708684816816
2024-02-05 11:14:36.952884,Bananas,72,148,1.03,0,3.441032401854992
2024-02-05 11:14:36.952884,Yogurt,46,92,1.03,0,3.826893314008912
2024-02-05 11:14:36.952884,Cereal,37,97,1.03,0,3.386357185211706
2024-02-06 11:14:36.952884,Milk,126,208,1.04,0,3.7563822666989166
2024-02-06 11:14:36.952884,Bread,95,188,1.04,0,3.738808071240501
2024-02-06 11:14:36.952884,Eggs,55,114,1.04,0,1.527094128700746
2024-02-06 11:14:36.952884,Coffee,33,96,1.04,0,2.933594720308215
2024-02-06 11:14:36.952884,Bananas,71,173,1.04,0,2.621113804945799
2024-02-06 11:14:36.952884,Yogurt,38,95,1.04,0,3.3809363235942
2024-02-06 11:14:36.952884,Cereal,31,83,1.04,0,3.4740453569863847
2024-02-07 11:14:36.952884,Milk,109,172,1.04,0,2.873822205809339
2024-02-07 11:14:36.952884,Bread,69,149,1.04,0,3.7192604568957495
2024-02-07 11:14:36.952884,Eggs,48,82,1.04,0,3.4037765792936807
2024-02-07 11:14:36.952884,Coffee,30,72,1.04,0,1.7528066903069757
2024-02-07 11:14:36.952884,Bananas,76,122,1.04,0,3.5546501482258908
2024-02-07 11:14:36.952884,Yogurt,42,107,1.04,0,1.7033719516047494
2024-02-07 11:14:36.952884,Cereal,30,81,1.04,0,3.8681214434596467
2024-02-08 11:14:36.952884,Milk,86,256,1.05,0,3.3834454631473543
2024-02-08 11:14:36.952884,Bread,72,191,1.05,0,2.8960106243395125
2024-02-08 11:14:36.952884,Eggs,54,115,1.05,0,3.76588596273684
2024-02-08 11:14:36.952884,Coffee,32,48,1.05,0,2.671651604985316
2024-02-08 11:14:36.952884,Bananas,63,99,1.05,0,1.7970447906701799
2024-02-08 11:14:36.952884,Yogurt,48,125,1.05,0,2.958421912742899
2024-02-08 11:14:36.952884,Cereal,34,100,1.05,0,2.43717644880926
2024-02-09 11:14:36.952884,Milk,122,223,1.05,0,3.9080563486015283
2024-02-09 11:14:36.952884,Bread,76,115,1.05,0,3.9246970667690975
